Date,Open,High,Low,Close,Adj Close,Volume,reward
2014/7/14,50.5,46.0,50.5,46.0,46.0,1419970.0,0.5
2014/7/15,46.0,45.0,46.0,44.99,44.99,4364500.0,0.6666666666666666
2014/7/16,44.99,45.3,44.99,44.35,44.35,62184.0,0.8333333333333334
2014/7/18,44.35,45.2,44.35,44.14,44.14,27854.7,1.0
2014/7/23,44.14,48.55,44.14,48.55,39.76,198834.0,1.0
2014/7/24,48.55,53.41,48.55,53.41,53.41,587.51,1.0
2014/7/25,53.41,58.75,53.41,58.75,58.75,176250.0,0.6666666666666666
2014/7/28,58.75,64.63,58.75,64.63,64.63,646.3,0.16666666666666666
2014/7/29,64.63,71.09,64.63,58.17,71.02,141540.0,0.5
2014/8/1,58.17,63.99,58.17,63.99,52.39,148267.0,0.16666666666666666
2014/8/4,63.99,70.39,63.99,57.84,57.84,193562.0,0.3333333333333333
2014/8/5,57.84,60.0,57.84,60.0,60.0,97860.0,0.16666666666666666
2014/8/6,60.0,54.0,60.0,54.0,54.0,270.0,0.16666666666666666
2014/8/7,54.0,52.0,54.0,48.99,49.02,540798.0,1.0
2014/8/8,48.99,52.8,48.99,52.12,52.12,551941.0,0.16666666666666666
2014/8/11,52.12,51.2,52.12,50.85,50.85,516548.0,0.8333333333333334
2014/8/12,50.85,51.6,50.85,50.96,50.96,514277.0,0.6666666666666666
2014/8/13,50.96,52.3,50.96,51.65,51.65,534487.0,0.5
2014/8/14,51.65,52.0,51.65,50.79,50.79,501708.0,0.5
2014/8/15,50.79,53.0,50.79,52.07,52.07,559276.0,0.16666666666666666
2014/8/18,52.07,53.5,52.07,52.01,52.01,491788.0,0.16666666666666666
2014/8/20,52.01,48.5,52.01,48.5,48.5,9166.5,0.16666666666666666
2014/8/22,48.5,43.65,48.5,43.65,43.65,436.5,0.16666666666666666
2014/9/2,43.65,43.0,43.65,43.0,43.0,30530.5,0.16666666666666666
2014/9/11,43.0,38.7,43.0,38.7,38.7,947647.0,0.16666666666666666
2014/10/8,38.7,34.83,38.7,34.83,34.83,17415.0,0.16666666666666666
2014/10/9,34.83,31.35,34.83,31.35,31.35,595.65,0.16666666666666666
2014/10/13,31.35,29.0,31.35,28.52,28.52,17970.0,0.16666666666666666
2014/10/14,28.52,27.0,28.52,26.5,26.5,142560.0,0.6666666666666666
2014/10/15,26.5,27.1,26.5,26.65,26.65,21050.0,0.4166666666666667
2014/10/16,26.65,26.65,26.65,26.65,26.65,7561.0,0.3333333333333333
2014/10/17,25.2,26.9,25.2,26.9,26.9,1345.0,0.16666666666666666
2014/10/21,26.9,26.1,26.9,26.1,26.1,261.0,0.16666666666666666
2014/10/22,26.1,25.0,26.1,24.89,24.89,126950.0,0.8333333333333334
2014/10/23,24.89,23.8,24.89,23.8,23.8,13780.2,1.0
2014/10/27,23.8,26.0,23.8,26.0,26.0,26000.0,0.5833333333333334
2014/10/30,26.0,26.0,26.0,26.0,26.0,26.0,0.5
2014/11/5,26.0,26.0,26.0,26.0,26.0,26000.0,0.4166666666666667
2014/11/6,26.0,26.0,26.0,26.0,26.0,26000.0,0.3333333333333333
2014/11/7,26.0,26.0,26.0,26.0,26.0,26.0,0.25
2014/11/13,26.0,26.0,26.0,26.0,26.0,52000.0,0.16666666666666666
2014/11/17,26.0,23.6,26.0,23.6,23.6,23600.0,0.5
2014/11/18,23.6,25.96,23.6,24.16,24.16,144960.0,0.16666666666666666
2014/11/20,24.16,23.9,24.16,23.9,23.9,79706.5,0.16666666666666666
2014/11/24,23.9,22.6,23.9,22.6,22.6,22600.0,0.4166666666666667
2014/11/25,22.6,22.8,22.6,22.8,22.8,342.0,0.3333333333333333
2014/11/28,22.8,21.0,22.8,21.0,21.0,42.0,0.8333333333333334
2014/12/1,21.0,23.0,21.0,21.55,21.55,9480.0,0.8333333333333334
2014/12/2,21.55,23.5,21.55,20.55,20.55,829249.0,1.0
2014/12/3,20.55,22.6,20.55,22.6,22.6,1130.0,1.0
2014/12/4,22.6,24.5,22.6,24.19,24.19,314.5,1.0
2014/12/5,24.19,26.5,24.19,26.02,26.02,312.2,1.0
2014/12/9,26.02,27.8,26.02,27.8,27.8,278.0,1.0
2014/12/10,27.8,29.8,27.8,29.8,29.8,357.6,0.6666666666666666
2014/12/11,29.8,31.6,29.8,31.6,31.6,695.2,0.3333333333333333
2014/12/15,31.6,28.5,31.6,28.5,28.5,28.5,0.8333333333333334
2014/12/16,28.5,31.2,28.5,28.2,28.2,1015.2,1.0
2014/12/17,28.2,31.0,28.2,30.49,30.49,335.38,0.6666666666666666
2014/12/18,30.49,32.6,30.49,32.6,32.6,489.0,0.16666666666666666
2014/12/26,32.6,29.36,32.6,29.36,29.36,1996.48,0.5833333333333334
2014/12/29,29.36,32.3,29.36,32.21,27.74,35924.5,0.3333333333333333
2015/1/7,32.21,32.6,32.21,32.57,32.57,16156.0,0.16666666666666666
2015/1/8,32.57,29.36,32.57,29.36,29.36,146.8,0.16666666666666666
2015/1/9,29.36,26.46,29.36,26.44,26.44,132.22,0.16666666666666666
2015/1/12,26.44,23.8,26.44,23.8,23.8,23.8,0.16666666666666666
2015/1/13,23.8,21.46,23.8,21.46,21.46,21.46,0.16666666666666666
2015/1/16,21.46,20.6,21.46,20.6,20.6,10300.0,0.9166666666666666
2015/1/19,21.46,20.6,21.46,20.6,20.6,10300.0,1.0
2015/1/21,20.6,21.6,20.6,20.66,20.66,39525.4,0.75
2015/1/22,20.6,21.6,20.6,20.66,20.66,39525.4,0.8333333333333334
2015/1/26,20.6,21.6,20.6,20.66,20.66,39525.4,0.9166666666666666
2015/1/28,20.66,20.66,20.66,20.66,20.66,61.98,1.0
2015/1/30,20.66,20.68,20.66,20.68,20.68,10340.0,0.8333333333333334
2015/2/2,20.68,21.0,20.68,20.69,20.69,31245.0,0.8333333333333334
2015/2/4,20.69,20.98,20.69,20.8,20.8,83202.2,0.6666666666666666
2015/2/6,20.8,20.8,20.8,20.8,20.8,41600.0,0.75
2015/2/12,20.8,20.8,20.8,20.8,20.8,20800.0,0.8333333333333334
2015/2/26,20.08,20.08,20.08,20.08,20.08,12147.2,1.0
2015/2/27,20.8,20.88,20.8,20.88,20.88,41760.0,0.9166666666666666
2015/3/3,20.88,20.88,20.88,20.88,20.88,10440.0,1.0
2015/3/5,20.88,20.98,20.88,20.98,20.98,21294.7,0.4166666666666667
2015/3/6,20.98,20.98,20.98,20.98,20.98,62940.0,0.3333333333333333
2015/3/9,21.0,21.0,21.0,21.0,21.0,21206.0,0.16666666666666666
2015/3/10,21.0,21.6,21.0,20.89,20.89,62681.6,0.4166666666666667
2015/3/13,20.89,20.89,20.89,20.89,20.89,41960.0,0.5
2015/3/16,20.98,20.98,20.98,20.7,20.7,207040.0,0.6666666666666666
2015/3/17,20.7,21.1,20.7,20.61,20.61,17437.7,0.8333333333333334
2015/3/18,20.2,20.2,20.2,20.2,20.2,53045.2,1.0
2015/3/19,20.2,22.2,20.2,21.29,21.31,1889460.0,1.0
2015/3/20,21.29,23.31,21.29,23.31,23.31,60595.0,1.0
2015/3/23,23.31,25.6,23.31,24.62,24.15,144096.0,1.0
2015/3/24,24.62,27.0,24.62,26.2,26.21,3800.4,1.0
2015/3/25,26.2,28.82,26.2,28.82,26.66,19409.0,0.8333333333333334
2015/3/26,28.82,31.7,28.82,29.58,29.58,1730690.0,0.6666666666666666
2015/3/27,29.58,32.54,29.58,32.54,32.54,325.4,0.16666666666666666
2015/3/30,32.54,29.89,32.54,29.89,29.89,14945.0,0.6666666666666666
2015/3/31,29.89,32.88,29.89,28.16,28.16,281.56,1.0
2015/4/1,28.16,30.98,28.16,30.98,25.43,15513.6,0.5
2015/4/2,30.98,34.08,30.98,28.19,33.7,108334.0,0.6666666666666666
2015/4/3,28.19,31.01,28.19,31.01,31.01,155.05,0.3333333333333333
2015/4/7,31.01,34.11,31.01,34.11,31.01,170.55,0.16666666666666666
2015/4/8,34.11,30.7,34.11,30.7,30.7,4666.4,0.16666666666666666
2015/4/9,30.7,27.63,30.7,27.63,27.63,1381.5,0.16666666666666666
2015/4/10,27.63,24.87,27.63,24.87,24.87,147380.0,0.16666666666666666
2015/4/13,24.87,22.38,24.87,22.38,22.38,111900.0,0.16666666666666666
